package:{"ShipCount":1,"TimeMark":550346,"Ships":[{"SeqNum":1,"Distance":84.96,"Speed":"0.36","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":552561,"Ships":[{"SeqNum":1,"Distance":89.35,"Speed":"0.32","Position":1,"Amplitude":13}]}
package:{"ShipCount":1,"TimeMark":554777,"Ships":[{"SeqNum":1,"Distance":87.89,"Speed":"0.36","Position":1,"Amplitude":13}]}
package:{"ShipCount":1,"TimeMark":556993,"Ships":[{"SeqNum":1,"Distance":90.82,"Speed":"0.32","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":559208,"Ships":[{"SeqNum":1,"Distance":89.35,"Speed":"0.32","Position":1,"Amplitude":13}]}
package:{"ShipCount":1,"TimeMark":561424,"Ships":[{"SeqNum":1,"Distance":89.35,"Speed":"0.36","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":563639,"Ships":[{"SeqNum":1,"Distance":96.67,"Speed":"0.32","Position":1,"Amplitude":5}]}
package:{"ShipCount":1,"TimeMark":565855,"Ships":[{"SeqNum":1,"Distance":93.75,"Speed":"0.32","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":568071,"Ships":[{"SeqNum":1,"Distance":95.21,"Speed":"0.32","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":570286,"Ships":[{"SeqNum":1,"Distance":95.21,"Speed":"0.32","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":572502,"Ships":[{"SeqNum":1,"Distance":93.75,"Speed":"0.36","Position":1,"Amplitude":7}]}
package:{"ShipCount":1,"TimeMark":574717,"Ships":[{"SeqNum":1,"Distance":98.14,"Speed":"0.36","Position":1,"Amplitude":9}]}
package:{"ShipCount":1,"TimeMark":576933,"Ships":[{"SeqNum":1,"Distance":96.67,"Speed":"0.36","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":579149,"Ships":[{"SeqNum":1,"Distance":95.21,"Speed":"0.36","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":581364,"Ships":[{"SeqNum":1,"Distance":98.14,"Speed":"0.36","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":583580,"Ships":[{"SeqNum":1,"Distance":98.14,"Speed":"0.36","Position":1,"Amplitude":11}]}
package:{"ShipCount":1,"TimeMark":585796,"Ships":[{"SeqNum":1,"Distance":102.53,"Speed":"0.36","Position":1,"Amplitude":17}]}
package:{"ShipCount":1,"TimeMark":588011,"Ships":[{"SeqNum":1,"Distance":99.6,"Speed":"0.32","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":590227,"Ships":[{"SeqNum":1,"Distance":102.53,"Speed":"0.32","Position":1,"Amplitude":27}]}
package:{"ShipCount":1,"TimeMark":592442,"Ships":[{"SeqNum":1,"Distance":102.53,"Speed":"0.32","Position":1,"Amplitude":18}]}
package:{"ShipCount":1,"TimeMark":594658,"Ships":[{"SeqNum":1,"Distance":102.53,"Speed":"0.32","Position":1,"Amplitude":19}]}
package:{"ShipCount":1,"TimeMark":596874,"Ships":[{"SeqNum":1,"Distance":104,"Speed":"0.36","Position":1,"Amplitude":35}]}
package:{"ShipCount":1,"TimeMark":599089,"Ships":[{"SeqNum":1,"Distance":104,"Speed":"0.36","Position":1,"Amplitude":29}]}
package:{"ShipCount":1,"TimeMark":601305,"Ships":[{"SeqNum":1,"Distance":105.46,"Speed":"0.36","Position":1,"Amplitude":24}]}
package:{"ShipCount":1,"TimeMark":603520,"Ships":[{"SeqNum":1,"Distance":106.93,"Speed":"0.41","Position":1,"Amplitude":20}]}
package:{"ShipCount":1,"TimeMark":605736,"Ships":[{"SeqNum":1,"Distance":106.93,"Speed":"0.41","Position":1,"Amplitude":15}]}
package:{"ShipCount":1,"TimeMark":607952,"Ships":[{"SeqNum":1,"Distance":108.39,"Speed":"0.41","Position":1,"Amplitude":12}]}
package:{"ShipCount":1,"TimeMark":610167,"Ships":[{"SeqNum":1,"Distance":108.39,"Speed":"0.45","Position":1,"Amplitude":14}]}
package:{"ShipCount":1,"TimeMark":612383,"Ships":[{"SeqNum":1,"Distance":109.86,"Speed":"0.45","Position":1,"Amplitude":27}]}
package:{"ShipCount":1,"TimeMark":614599,"Ships":[{"SeqNum":1,"Distance":111.32,"Speed":"0.49","Position":1,"Amplitude":19}]}
package:{"ShipCount":1,"TimeMark":616814,"Ships":[{"SeqNum":1,"Distance":112.79,"Speed":"0.45","Position":1,"Amplitude":40}]}
